Domain_name,high_pcn_freq,control_freq,high_pcn_freq_normalized,control_freq_normalized,abs_difference,fold_enrichment,p_value,p_value_corrected,neg_log10_p,Pfam_accession,GO_terms
AAA_5,0.0,0.004255966,0.0,0.010642341,-0.004255966,0.0,0.910854973,1.0,0.0,PF07728,ATP binding ; 0005524
AAA_5,0.0,0.004255966,0.0,0.010642341,-0.004255966,0.0,0.910854973,1.0,0.0,PF07728,ATP hydrolysis activity ; 0016887
AAA_7,0.0,0.002431981,0.0,0.006081338,-0.002431981,0.0,0.845351832,1.0,0.0,PF12775,
AAA_lid_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF17862,
AAA_lid_9,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF17871,
AadA_C,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF13427,
ABC_ATPase,0.0,0.00121599,0.0,0.003040669,-0.00121599,0.0,0.76380934,1.0,0.0,PF09818,
ABC_membrane,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00664,ATP binding ; 0005524
ABC_membrane,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00664,ABC-type transporter activity ; 0140359
ABC_membrane,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00664,transmembrane transport ; 0055085
ABC_membrane,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00664,membrane ; 0016020
ABC_tran,0.0,0.02249582,0.0,0.056252376,-0.02249582,0.0,0.999100004,1.0,0.0,PF00005,ATP binding ; 0005524
ABC_tran,0.0,0.02249582,0.0,0.056252376,-0.02249582,0.0,0.999100004,1.0,0.0,PF00005,ATP hydrolysis activity ; 0016887
ABC_tran_Xtn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF12848,
ABC2_membrane,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01061,ABC-type transporter activity ; 0140359
ABC2_membrane,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01061,membrane ; 0016020
ABC2_membrane_2,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF12679,ABC-type transporter activity ; 0140359
ABC2_membrane_2,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF12679,transmembrane transport ; 0055085
ABC2_membrane_3,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF12698,ABC-type transporter activity ; 0140359
ABC2_membrane_3,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF12698,membrane ; 0016020
ABC2_membrane_4,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF12730,
ABC-3,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00950,transmembrane transport ; 0055085
ABC-3,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00950,plasma membrane ; 0005886
ABC-3,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00950,ATP-binding cassette (ABC) transporter complex ; 0043190
Abhydrolase_1,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF00561,
Abhydrolase_11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF20408,
Abhydrolase_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02230,hydrolase activity ; 0016787
Abhydrolase_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF07859,hydrolase activity ; 0016787
Abhydrolase_4,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF08386,
Abhydrolase_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF12695,hydrolase activity ; 0016787
Abhydrolase_6,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF12697,
Abi_2,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF07751,
AbiEi_4,0.0,0.003951968,0.0,0.009882174,-0.003951968,0.0,0.902666819,1.0,0.0,PF13338,
AbiEii,0.0,0.016415869,0.0,0.041049031,-0.016415869,0.0,0.996077785,1.0,0.0,PF08843,
ABM,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF03992,
AC_1,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF18883,
Ac45-VOA1_TM,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF20520,
Acetyltransf_1,0.004716981,0.003343973,0.023255814,0.00836184,0.001373008,1.410591767,0.319628011,1.0,0.0,PF00583,"acyltransferase activity, transferring groups other than amino-acyl groups ; 0016747"
Acetyltransf_10,0.004716981,0.002127983,0.023255814,0.005321171,0.002588998,2.216644205,0.139619122,1.0,0.0,PF13673,"acyltransferase activity, transferring groups other than amino-acyl groups ; 0016747"
Acetyltransf_3,0.0,0.001823985,0.0,0.004561003,-0.001823985,0.0,0.810645916,1.0,0.0,PF13302,"acyltransferase activity, transferring groups other than amino-acyl groups ; 0016747"
Acetyltransf_4,0.0,0.001519988,0.0,0.003800836,-0.001519988,0.0,0.789156465,1.0,0.0,PF13420,
Acetyltransf_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13444,
Acetyltransf_6,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF13480,
Acetyltransf_7,0.004716981,0.002431981,0.023255814,0.006081338,0.002285001,1.939563679,0.18393322,1.0,0.0,PF13508,"acyltransferase activity, transferring groups other than amino-acyl groups ; 0016747"
Acetyltransf_8,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF13523,
Acetyltransf_9,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF13527,
Acetyltransf_CG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF14542,
ACOX_C_alpha1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF22924,
ACR_tran,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF00873,transmembrane transporter activity ; 0022857
ACR_tran,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF00873,transmembrane transport ; 0055085
ACR_tran,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF00873,membrane ; 0016020
ACT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF01842,
Acyl_transf_3,0.0,0.00121599,0.0,0.003040669,-0.00121599,0.0,0.76380934,1.0,0.0,PF01757,"acyltransferase activity, transferring groups other than amino-acyl groups ; 0016747"
Acyl-CoA_dh_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00441,"oxidoreductase activity, acting on the CH-CH group of donors ; 0016627"
Acyl-CoA_dh_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF08028,
Acyl-CoA_dh_M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02770,"oxidoreductase activity, acting on the CH-CH group of donors ; 0016627"
Acyl-CoA_dh_N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02771,"oxidoreductase activity, acting on the CH-CH group of donors ; 0016627"
Acyl-CoA_dh_N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02771,flavin adenine dinucleotide binding ; 0050660
ADH_Fe_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF25137,
ADH_N,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF08240,
adh_short,0.0,0.003191974,0.0,0.007981756,-0.003191974,0.0,0.878021238,1.0,0.0,PF00106,
adh_short_C2,0.0,0.002127983,0.0,0.005321171,-0.002127983,0.0,0.829177345,1.0,0.0,PF13561,
ADH_zinc_N,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF00107,
ADH_zinc_N_2,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF13602,
AgI_II_C2,0.0,0.00121599,0.0,0.003040669,-0.00121599,0.0,0.76380934,1.0,0.0,PF17998,
AhpC-TSA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00578,antioxidant activity ; 0016209
AhpC-TSA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00578,oxidoreductase activity ; 0016491
AlaDh_PNT_C,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF01262,
Ald_Xan_dh_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF01315,
Aldedh,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00171,oxidoreductase activity ; 0016491
Aldo_ket_red,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF00248,
Aldolase_II,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00596,
ALP_N,0.0,0.00121599,0.0,0.003040669,-0.00121599,0.0,0.76380934,1.0,0.0,PF17989,
Alp7A_like_C,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF22128,
Alpha-amylase,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00128,carbohydrate metabolic process ; 0005975
Alpha-amylase_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02806,catalytic activity ; 0003824
Alpha-amylase_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02806,cation binding ; 0043169
Alpha-amylase_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02806,carbohydrate metabolic process ; 0005975
Amidase,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01425,
Amidohydro_1,0.0,0.001367989,0.0,0.003420753,-0.001367989,0.0,0.777038751,1.0,0.0,PF01979,hydrolase activity ; 0016787
Amidohydro_2,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF04909,hydrolase activity ; 0016787
Amidohydro_3,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF07969,
Amino_oxidase,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF01593,oxidoreductase activity ; 0016491
Aminotran_1_2,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF00155,pyridoxal phosphate binding ; 0030170
Aminotran_1_2,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF00155,biosynthetic process ; 0009058
Aminotran_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00202,transaminase activity ; 0008483
Aminotran_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00202,pyridoxal phosphate binding ; 0030170
Aminotran_5,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00266,
AmiR_N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF21332,
AMP-binding,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00501,
AMP-binding_C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13193,
ANAPC3,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF12895,
ANF_receptor,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF01094,
Ank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00023,protein binding ; 0005515
Ank_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF12796,protein binding ; 0005515
Ank_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13606,protein binding ; 0005515
Ank_4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13637,protein binding ; 0005515
Ank_5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13857,protein binding ; 0005515
ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF03374,DNA binding ; 0003677
ANTAR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF03861,RNA binding ; 0003723
Antibiotic_NAT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02522,N-acetyltransferase activity ; 0008080
Antibiotic_NAT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02522,response to antibiotic ; 0046677
Antirestrict,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF03230,
AP_endonuc_2,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01261,
ApbA,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF02558,
APH,0.004716981,0.003495972,0.023255814,0.008741923,0.001221009,1.34926169,0.341474803,1.0,0.0,PF01636,
APH_6_hur,0.004716981,0.000759994,0.023255814,0.001900418,0.003956987,6.206603774,0.006231357,0.321039532,0.493441486,PF04655,"phosphotransferase activity, alcohol group as acceptor ; 0016773"
APH_6_hur,0.004716981,0.000759994,0.023255814,0.001900418,0.003956987,6.206603774,0.006231357,0.321039532,0.493441486,PF04655,protein phosphorylation ; 0006468
APH_6_hur,0.004716981,0.000759994,0.023255814,0.001900418,0.003956987,6.206603774,0.006231357,0.321039532,0.493441486,PF04655,secondary metabolic process ; 0019748
Apolipoprotein,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01442,lipid binding ; 0008289
Apolipoprotein,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01442,lipid transport ; 0006869
Apolipoprotein,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01442,lipoprotein metabolic process ; 0042157
Apolipoprotein,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01442,extracellular region ; 0005576
APS_kinase,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01583,
AraC_binding,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF02311,regulation of DNA-templated transcription ; 0006355
AraC_binding_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF14525,
ArdA,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF07275,
ArdcN,0.0,0.04119167,0.0,0.103002661,-0.04119167,0.0,0.999989877,1.0,0.0,PF08401,single-stranded DNA binding ; 0003697
Arm-DNA-bind_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13356,
ArsA_ATPase,0.0,0.082991336,0.0,0.207525656,-0.082991336,0.0,1.0,1.0,0.0,PF02374,
ArsA_HSP20,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF17886,
ArsB,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF02040,arsenite transmembrane transporter activity ; 0015105
ArsB,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF02040,arsenite transport ; 0015700
ArsB,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF02040,membrane ; 0016020
ArsC,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF03960,
ArsD,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF06953,DNA binding ; 0003677
ArsD,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF06953,negative regulation of DNA-templated transcription ; 0045892
ArsD,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF06953,response to arsenic-containing substance ; 0046685
AsnC_trans_reg,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01037,
Asp_Glu_race,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF01177,amino-acid racemase activity ; 0047661
AstE_AspA_cat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF24827,"hydrolase activity, acting on ester bonds ; 0016788"
ATG16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF08614,
ATP_bind_1,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF03029,
ATPase_2,0.0,0.010183919,0.0,0.025465602,-0.010183919,0.0,0.981597112,1.0,0.0,PF01637,ATP binding ; 0005524
ATP-cone,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF03477,
ATP-grasp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02222,
ATP-grasp_3,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF02655,ATP binding ; 0005524
ATP-grasp_3,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF02655,metal ion binding ; 0046872
ATPgrasp_ST,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF14397,
ATPgrasp_Ter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF15632,
ATP-synt_ab,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF00006,ATP binding ; 0005524
Autoind_bind,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF03472,
Autoind_synth,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00765,transferase activity ; 0016740
Autotransporter,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF03797,
AXE1,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF05448,
Bac_DNA_binding,0.0,0.014135887,0.0,0.035347777,-0.014135887,0.0,0.993139628,1.0,0.0,PF00216,DNA binding ; 0003677
Bac_DNA_binding,0.0,0.014135887,0.0,0.035347777,-0.014135887,0.0,0.993139628,1.0,0.0,PF00216,structural constituent of chromatin ; 0030527
Bac_DnaA,0.0,0.001671987,0.0,0.00418092,-0.001671987,0.0,0.800318041,1.0,0.0,PF00308,
Bac_luciferase,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00296,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; 0016705"
Bac_RepA_C,0.0,0.001063991,0.0,0.002660585,-0.001063991,0.0,0.749264889,1.0,0.0,PF18008,
Baculo_PEP_C,0.0,0.003343973,0.0,0.00836184,-0.003343973,0.0,0.883496818,1.0,0.0,PF04513,structural molecule activity ; 0005198
Baculo_PEP_C,0.0,0.003343973,0.0,0.00836184,-0.003343973,0.0,0.883496818,1.0,0.0,PF04513,viral capsid ; 0019028
Baculo_PEP_C,0.0,0.003343973,0.0,0.00836184,-0.003343973,0.0,0.883496818,1.0,0.0,PF04513,viral envelope ; 0019031
Band_7,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF01145,
Baseplate_J,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF04865,
BCA_ABC_TP_C,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF12399,
BCCT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02028,transmembrane transporter activity ; 0022857
BCCT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02028,nitrogen compound transport ; 0071705
BCCT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02028,membrane ; 0016020
BD-FAE,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF20434,
Bep_C_terminal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF17841,
