Target,Correlation,p_value,q_value
ACP_PD,-0.005962663,0.526832239,0.870043435
ACP_syn_III,-0.01953048,0.038167398,0.230583864
ACP_syn_III_C,-0.016752836,0.075374941,0.385011637
ACR_tran,-0.072090539,1.84E-14,9.88E-13
ACT,-0.030636548,0.001144536,0.012928435
ACT_3,-0.004734974,0.615283327,0.870043435
ACT_4,-0.013193948,0.16139596,0.627572357
ACT_5,-0.005522211,0.557807835,0.870043435
ACT_6,-0.015720903,0.095190554,0.451597144
ACT_7,-0.009965572,0.290185049,0.844118876
ACT_9,-0.005192006,0.581596703,0.870043435
ACT_ACR9_3rd,-0.004371893,0.642640395,0.870043435
ACT_ACR9_C,-0.003807451,0.686137157,0.870043435
ACT_AHAS_ss,-0.011559842,0.219846173,0.745731152
ACT_PSP_2,-0.002176168,0.817340828,0.870043435
AC_1,-0.036538425,0.000104767,0.001504709
AChE_tetra,-0.003495123,0.710671973,0.870043435
ADAMTSL1,-0.004368875,0.64286991,0.870043435
ADC,-0.009936225,0.291607955,0.847060077
ADDB_N,-0.00409067,0.664170535,0.870043435
ADDT,-0.003746648,0.690888597,0.870043435
ADD_DNMT3,-0.001933222,0.837430323,0.870043435
ADH_Fe_C,-0.039223054,3.12E-05,0.000497712
ADH_N,-0.073615289,5.13E-15,2.84E-13
ADH_N_2,-0.023033235,0.014487553,0.110803109
ADH_zinc_N,-0.073954008,3.85E-15,2.15E-13
ADH_zinc_N_2,-0.066182135,2.04E-12,8.90E-11
ADI,-0.019518484,0.038286066,0.231058713
ADIP,-0.007164841,0.446988341,0.870043435
ADK,-0.011836155,0.209019334,0.723979509
ADK_lid,-0.007496735,0.426222534,0.870043435
ADPRTs_Tse2,-0.001434866,0.878959301,0.892737792
ADP_PFK_GK,-0.003833524,0.684103431,0.870043435
ADP_ribosyl_GH,-0.014950628,0.112543494,0.504284139
ADPrib_exo_Tox,-0.023207441,0.013761156,0.106873676
ADSL_C,-0.012135028,0.197749194,0.700351664
AEP-TOTE,-0.006757281,0.473258204,0.870043435
AEP-like,-0.00216746,0.818058944,0.870043435
AF1548-like_C,-0.002159415,0.818722471,0.870043435
AF2212-like,-0.003006136,0.749684783,0.870043435
AFG1_ATPase,-0.015361384,0.103002912,0.476263081
AFOR_C,-0.00666439,0.479362361,0.870043435
AFOR_N,-0.006991508,0.458058108,0.870043435
AGA-YXIM_GBD,-0.002131735,0.821006573,0.870043435
AGAO-like_N2,-0.004633334,0.622890079,0.870043435
AGS_C,-0.011166006,0.235964589,0.772575987
AHH,-0.009418744,0.317468102,0.870043435
AHSA1,-0.020409197,0.030285027,0.196223153
AH_C,-0.017025092,0.070750119,0.368047415
AI-2E_transport,-0.022639893,0.016253261,0.121186885
AI2M-like_HNH,-0.022587039,0.016504383,0.122645009
AICARFT_IMPCHas,-0.005583364,0.5534547,0.870043435
AIDA,-0.008915569,0.344012475,0.870043435
AIF-1,-0.001733937,0.85398963,0.874617032
AIF_C,-0.00355038,0.706308507,0.870043435
AIG1,-0.016726204,0.075840283,0.386849173
AIG2_2,-0.003419514,0.716657985,0.870043435
AIM24,-0.006640879,0.480914055,0.870043435
AIP3,-0.004015723,0.669956357,0.870043435
AIPR,-0.010882294,0.248082496,0.789278738
AIPR_N,-0.003131502,0.739616885,0.870043435
AIR2-like_ZnK4,-0.001970026,0.834379831,0.870043435
AIRC,-0.008202242,0.383997564,0.870043435
AIRS,-0.020414024,0.030245916,0.196079904
AIRS_C,-0.020414024,0.030245916,0.196079904
AKAP7_NLS,-0.004231656,0.65334074,0.870043435
ALAD,-0.015547301,0.098901546,0.463294692
ALF,-0.007147507,0.448088473,0.870043435
ALGX,-0.006477415,0.491778149,0.870043435
ALK_LTK_GRD,-0.004596055,0.625690172,0.870043435
ALMT,-0.011903694,0.206432699,0.719488764
ALN_composite,-0.003121778,0.740396204,0.870043435
ALO,-0.008643219,0.35895424,0.870043435
ALP_N,-0.073192892,7.33E-15,3.99E-13
ALS_ss_C,-0.005183632,0.582206143,0.870043435
ALTTAQ_rpt,-0.007303098,0.438268808,0.870043435
AMIN,-0.00564548,0.54905013,0.870043435
AMIN-like,-0.002952633,0.753994632,0.870043435
AMMECR1,-0.002133608,0.82085198,0.870043435
AMNp_N,-0.003647886,0.698632388,0.870043435
AMO,-0.001976224,0.833866312,0.870043435
AMP-binding,-0.047991607,3.46E-07,7.93E-06
AMP-binding_C,-0.044663629,2.11E-06,4.24E-05
AMP-binding_C_2,-0.011343494,0.228599964,0.761537663
AMP-binding_C_3,-0.0135206,0.151268382,0.604496969
AMP-dom_DIP2-like,-0.011506427,0.22198473,0.750117167
AMPK1_CBM,-0.006739303,0.474436232,0.870043435
AMP_N,-0.003688967,0.695407394,0.870043435
AMP_deaminase,-0.006276715,0.505295025,0.870043435
ANAPC3,-0.035695424,0.000150818,0.002077256
ANAPC4_WD40,-0.021295929,0.023791111,0.162806653
ANAPC5,-0.00979922,0.298312589,0.856043564
ANAPC8,-0.003740023,0.691407033,0.870043435
ANC1_spectrin,-0.003815375,0.68551879,0.870043435
ANF_receptor,-0.038114138,5.19E-05,0.000792468
ANIS5_cation-bd,-0.003674886,0.696512202,0.870043435
ANKH,-0.005167243,0.583399688,0.870043435
ANK_LRRK2,-0.00816034,0.386431615,0.870043435
ANT,-0.028601313,0.002395782,0.024573097
ANTAR,-0.035920579,0.000136936,0.001902751
AOC_like,-0.003043754,0.746659186,0.870043435
AOX,-0.005215572,0.579883347,0.870043435
AP2,-0.009775255,0.299495847,0.857731712
APAF1_C,-0.003629178,0.70010276,0.870043435
APC1_C,-0.002082041,0.825110913,0.870043435
APG6_N,-0.012329952,0.190642377,0.686443501
APH,-0.075685862,8.67E-16,5.26E-14
APH_6_hur,-0.041158968,1.24E-05,0.00021525
APOBEC2,-0.001400565,0.881831255,0.894482683
APOBEC3,-0.001400565,0.881831255,0.894482683
APOBEC4_like,-0.001400565,0.881831255,0.894482683
APOBEC_N,-0.002540904,0.78740831,0.870043435
APP1_cat,-0.002150669,0.819444046,0.870043435
APS_kinase,-0.064661255,6.42E-12,2.69E-10
APT,-0.002128882,0.821242048,0.870043435
AP_endonuc_2,-0.045145108,1.64E-06,3.37E-05
ARC6-like_IMS,-0.002416241,0.797606087,0.870043435
ARD,-0.009259316,0.325729234,0.870043435
ARGLU,-0.001898614,0.840301101,0.870043435
ARMC9_ARM,-0.002119916,0.821982284,0.870043435
ARMT1-like_dom,-0.001783362,0.849876409,0.872246033
ARM_KNTC1_1st,-0.002168916,0.817938901,0.870043435
ARM_TT21,-0.012182666,0.195994696,0.697871823
ARM_TT21_2nd,-0.015104782,0.108884397,0.493811934
ARM_TT21_4th,-0.010864299,0.248865535,0.790569873
ARM_TT21_5th,-0.017083747,0.069784836,0.364505668
ARM_TT21_C,-0.014893177,0.113931709,0.508307311
ARM_TT21_N,-0.015441372,0.10122207,0.470461582
ARPP-1,-0.003675185,0.696488678,0.870043435
ARPP-2,-0.002978737,0.751890914,0.870043435
ART,-0.004045588,0.667648446,0.870043435
ART-PolyVal,-0.013679509,0.146520025,0.591878227
ASCH,-0.021283038,0.023876092,0.163129723
ASD1_dom,-0.005945057,0.528053358,0.870043435
ASH,-0.004741461,0.61479928,0.870043435
ASL_C,-0.002787666,0.76733114,0.870043435
ASL_C2,-0.012330453,0.190624361,0.686443501
ASRT,-0.007441218,0.42965642,0.870043435
ASTN1_2_fn3,-0.009218813,0.327850093,0.870043435
ASTN_1_2_N,-0.002157034,0.818918914,0.870043435
ATC_hydrolase,-0.010168507,0.280473728,0.833686469
ATE_C,-0.002136391,0.82062222,0.870043435
ATE_N,-0.002136391,0.82062222,0.870043435
ATG14,-0.008902803,0.344703818,0.870043435
ATG16,-0.026783354,0.00446709,0.041248161
ATG17_like,-0.014654071,0.119854694,0.525386869
ATG22,-0.012559704,0.182509307,0.67077114
ATG5_UblB,-0.001436297,0.878839484,0.892737792
ATLF,-0.015123301,0.10845124,0.492428406
ATP-cone,-0.032971401,0.000464648,0.005780783
ATP-grasp,-0.031183812,0.000931366,0.010762965
ATP-grasp_2,-0.011286513,0.230946287,0.764796354
ATP-grasp_3,-0.028744106,0.002278016,0.023531128
ATP-grasp_4,-0.024284397,0.009943476,0.082206527
ATP-grasp_5,-0.018631883,0.04796771,0.27410058
ATP-grasp_6,-0.010498453,0.265160278,0.81570912
ATP-gua_Ptrans,-0.002134843,0.820749992,0.870043435
ATP-sulfurylase,-0.005292274,0.574323155,0.870043435
ATP-synt,-0.006991713,0.458044908,0.870043435
ATP-synt_10,-0.001998478,0.832023289,0.870043435
ATP-synt_A,-0.006991713,0.458044908,0.870043435
ATP-synt_B,-0.007026401,0.455817425,0.870043435
ATP-synt_C,-0.007854787,0.404463857,0.870043435
ATP-synt_D,-0.006823237,0.468950159,0.870043435
ATP-synt_DE,-0.002137134,0.820560884,0.870043435
ATP-synt_DE_N,-0.006991713,0.458044908,0.870043435
ATP-synt_E,-0.002987111,0.75121645,0.870043435
ATP-synt_F,-0.003048024,0.746316019,0.870043435
ATP-synt_I,-0.004782502,0.611740492,0.870043435
ATP-synt_VA_C,-0.007582339,0.420959234,0.870043435
ATP-synt_ab,-0.039601945,2.61E-05,0.000425112
ATP-synt_ab_C,-0.006991713,0.458044908,0.870043435
ATP-synt_ab_N,-0.020340665,0.030845,0.198458231
ATP-synt_ab_Xtn,-0.005955115,0.52735564,0.870043435
ATP13,-0.002284014,0.808460439,0.870043435
ATP_bind_1,-0.05107064,5.83E-08,1.52E-06
ATP_bind_3,-0.021897074,0.020108868,0.14315776
ATP_transf,-0.004199933,0.655771256,0.870043435
ATPase,-0.006411409,0.496202017,0.870043435
ATPaseInh_sub_z,-0.008309594,0.377804641,0.870043435
ATPase_2,-0.065446399,3.56E-12,1.53E-10
ATPase_RavA_C,-0.005228406,0.578951269,0.870043435
ATPase_gene1,-0.007001322,0.457427291,0.870043435
ATPgraspMvdD,-0.003592808,0.702964656,0.870043435
ATPgrasp_N,-0.011117599,0.238001986,0.774985852
ATPgrasp_ST,-0.040577052,1.64E-05,0.000278085
ATPgrasp_Ter,-0.039047916,3.38E-05,0.000534009
ATPgrasp_TupA,-0.010605824,0.260303562,0.809622703
ATPgrasp_YheCD,-0.011363606,0.227775914,0.760329847
ATR13,-0.007094935,0.451434443,0.870043435
AUDH_beta_propeller,-0.00526496,0.576300265,0.870043435
AWPM-19,-0.001896722,0.840458099,0.870043435
AXE1,-0.050001278,1.10E-07,2.74E-06
AXH,-0.002867927,0.760833705,0.870043435
A_amylase_inhib,-0.002181783,0.816877938,0.870043435
A_deaminase,-0.011627076,0.217175387,0.74059247
A_thal_3526,-0.001426685,0.879644157,0.893118766
Aa_trans,-0.010184047,0.279739287,0.831932231
AadA_C,-0.055862785,2.96E-09,9.11E-08
AbfB,-0.003465799,0.712991517,0.870043435
Abhydrolase_1,-0.083173778,9.32E-19,7.08E-17
Abhydrolase_10,-0.004772831,0.612460605,0.870043435
Abhydrolase_11,-0.036370038,0.000112745,0.001597403
Abhydrolase_2,-0.031857827,0.000719423,0.008501133
Abhydrolase_3,-0.060906797,9.78E-11,3.62E-09
Abhydrolase_4,-0.031903011,0.000706956,0.008362378
Abhydrolase_5,-0.031170022,0.000936252,0.010797789
Abhydrolase_6,-0.083629259,6.03E-19,4.63E-17
Abhydrolase_7,-0.004767273,0.612874722,0.870043435
Abhydrolase_8,-0.004216071,0.65453437,0.870043435
Abhydrolase_9,-0.005627022,0.550357153,0.870043435
Abhydrolase_9_N,-0.004755258,0.613770183,0.870043435
AbiEi_1,-0.004598918,0.625474934,0.870043435
AbiEi_2,-0.007348494,0.435427291,0.870043435
AbiEi_3,-0.013411587,0.154592988,0.610380325
AbiEi_3_N,-0.016167736,0.086150271,0.423156334
AbiEi_4,-0.028570738,0.002421711,0.024729502
AbiEii,-0.033227574,0.000419407,0.00524623
AbiGi,-0.009790811,0.298727436,0.856807641
AbiGii_2,-0.004122848,0.661692476,0.870043435
AbiH,-0.018682793,0.047360826,0.271342474
AbiJ_NTD3,-0.005383813,0.567720624,0.870043435
AbiJ_NTD4,-0.017117398,0.069235949,0.362624068
AbiJ_NTD5,-0.008796976,0.350469296,0.870043435
AbiTii,-0.014207374,0.131563117,0.554575081
Abi_2,-0.03068031,0.001125959,0.012734055
Abi_C,-0.020062177,0.033212884,0.20817619
Abi_alpha,-0.004736906,0.615139153,0.870043435
AbrB,-0.011002284,0.242905382,0.782419694
AbrB-like,-0.005186088,0.582027366,0.870043435
AbrB_C,-0.023097676,0.014215,0.109513424
Ac45-VOA1_TM,-0.03511112,0.000193277,0.002610149
Ac76,-0.00183946,0.845212822,0.870043435
AcMNPV_AC11,-0.002130215,0.821132039,0.870043435
AcaB,-0.016037968,0.088701259,0.430792112
Acatn,-0.016333228,0.082983376,0.413411348
Acb1,-0.00370861,0.693867343,0.870043435
Acb2_Tad1_hairpin,-0.010603973,0.260386779,0.809663176
AceK_kinase,-0.002130857,0.821079057,0.870043435
AceK_regulatory,-0.002130857,0.821079057,0.870043435
AcetDehyd-dimer,-0.010038776,0.286656142,0.839513784
Acetate_kinase,-0.015471781,0.100551537,0.468897631
Acetone_carb_G,-0.008102935,0.389781415,0.870043435
AcetylCoA_hyd_C,-0.012625975,0.180211851,0.665926608
AcetylCoA_hydro,-0.011473941,0.223292619,0.752291049
Acetyltransf_1,-0.111667444,1.35E-32,2.78E-30
Acetyltransf_10,-0.102350475,1.27E-27,1.97E-25
Acetyltransf_11,-0.004657744,0.621059511,0.870043435
Acetyltransf_13,-0.008368896,0.37441012,0.870043435
Acetyltransf_14,-0.012391926,0.188422701,0.682285405
Acetyltransf_15,-0.017848112,0.058165485,0.316007824
Acetyltransf_17,-0.006202726,0.510327017,0.870043435
Acetyltransf_18,-0.013849537,0.141566597,0.581648578
Acetyltransf_2,-0.014737664,0.117757153,0.518356199
Acetyltransf_3,-0.083840081,4.92E-19,3.81E-17
Acetyltransf_4,-0.069342857,1.73E-13,8.26E-12
Acetyltransf_5,-0.029980714,0.001459092,0.016072314
Acetyltransf_6,-0.035729116,0.00014866,0.002053287
Acetyltransf_7,-0.106118174,1.39E-29,2.59E-27
Acetyltransf_8,-0.06312182,2.00E-11,8.01E-10
Acetyltransf_9,-0.036519296,0.000105646,0.001510754
Acetyltransf_CG,-0.043033736,4.89E-06,9.18E-05
Acid_PPase,-0.011150552,0.236613675,0.77348723
Acid_phosphat_B,-0.008397149,0.372799522,0.870043435
AcnX,-0.010046134,0.286303048,0.838692671
AcnX_swivel_put,-0.009408991,0.317969504,0.870043435
Aconitase,-0.02110187,0.025098544,0.169772147
Aconitase_2_N,-0.008558804,0.363667051,0.870043435
Aconitase_B_N,-0.005624072,0.550566168,0.870043435
Aconitase_C,-0.020753068,0.027605278,0.183077445
AcrF3,-0.002950713,0.754149443,0.870043435
AcrIIA4,-0.002958897,0.753489684,0.870043435
AcrZ,-0.002126118,0.821470238,0.870043435
ActA,-0.002134843,0.820749992,0.870043435
ActD,-0.004289083,0.648950151,0.870043435
Actin,-0.006749604,0.473761067,0.870043435
Actino_peptide,-0.002222847,0.81349423,0.870043435
Activator-TraM,-0.014765347,0.117068893,0.517779758
Acyl-ACP_TE,-0.011836849,0.208992636,0.723979509
Acyl-ACP_TE_C,-0.012343409,0.190158764,0.685773195
Acyl-CoA-dh_C,-0.006833169,0.468303325,0.870043435
Acyl-CoA_dh_1,-0.038786292,3.82E-05,0.000599397
Acyl-CoA_dh_2,-0.03955087,2.68E-05,0.000434816
Acyl-CoA_dh_C,-0.012828207,0.173333799,0.653951474
Acyl-CoA_dh_M,-0.039907739,2.26E-05,0.000373303
Acyl-CoA_dh_N,-0.039932986,2.24E-05,0.00037046
Acyl-CoA_ox_N,-0.008476566,0.368295353,0.870043435
AcylCoA_DH_N,-0.008990723,0.33996023,0.870043435
AcylCoA_dehyd_C,-0.003093294,0.74268066,0.870043435
Acyl_CoA_thio,-0.00545392,0.562688694,0.870043435
Acyl_transf_1,-0.024457581,0.009426728,0.078497081
Acyl_transf_2,-0.003719881,0.692984183,0.870043435
Acyl_transf_3,-0.037514346,6.81E-05,0.001016779
Acylphosphatase,-0.015432589,0.101416421,0.470678302
Acyltransf_2,-0.00557686,0.55391691,0.870043435
Acyltransferase,-0.019145148,0.042139079,0.249097895
Ad_Cy_reg,-0.003676071,0.696419169,0.870043435
Ada3,-0.00225858,0.810552597,0.870043435
Ada_Zn_binding,-0.0101301,0.282294513,0.836941547
Adap_comp_sub,-0.002051331,0.827649673,0.870043435
Adaptin_N,-0.007253597,0.441379421,0.870043435
Adenine_deam_C,-0.015666468,0.096341975,0.455934346
Adenine_glyco,-0.007758542,0.410246317,0.870043435
Adeno_IVa2,-0.007356777,0.434909929,0.870043435
Adenosine_kin,-0.004194162,0.65621384,0.870043435
Adenyl_cycl_N,-0.010266982,0.275841697,0.82609252
Adenyl_transf,-0.020855332,0.026848887,0.178884002
Adenylate_cycl,-0.002137134,0.820560884,0.870043435
Adenylsucc_synt,-0.006401199,0.496888214,0.870043435
Adhes-Ig_like,-0.001671249,0.859212204,0.878016512
Adhesin_Dr,-0.005382735,0.567798173,0.870043435
Adhesin_E,-0.007398256,0.432324708,0.870043435
Adhesin_P1_N,-0.016021339,0.089032493,0.431796357
AdoHcyase,-0.003334491,0.723410107,0.870043435
AdoHcyase_NAD,-0.019070194,0.042950949,0.252731272
AdoMet_Synthase,-0.002955902,0.753731076,0.870043435
AdoMet_dc,-0.005213438,0.580038436,0.870043435
Aegerolysin,-0.00408611,0.664521949,0.870043435
Aerolysin,-0.005989355,0.524983738,0.870043435
AfaD,-0.012255517,0.193333713,0.692029086
AfsA,-0.005077737,0.589938037,0.870043435
AftA_N,-0.00207278,0.825876331,0.870043435
AgI_II_C2,-0.027416189,0.003610284,0.03466895
Agarase_CBM,-0.002138706,0.820431166,0.870043435
Agd3_CE,-0.003117509,0.740738433,0.870043435
Agenet,-0.00211617,0.822291572,0.870043435
Ago_Mid,-0.009659045,0.30527809,0.866006789
Ago_N_2,-0.005674456,0.547001393,0.870043435
AgrB,-0.007410826,0.431542974,0.870043435
Agro_virD5,-0.016293592,0.083733134,0.41625983
AhpC-TSA,-0.059874889,2.01E-10,7.03E-09
AhpC-TSA_2,-0.008570708,0.363000175,0.870043435
AhtL-like_1st,-0.002149321,0.819555242,0.870043435
AidB_N,-0.007409399,0.43163172,0.870043435
Ail_Lom,-0.019846591,0.035151183,0.217255407
AimR,-0.023254903,0.013568907,0.105665227
Aip3p_Bud6_N,-0.002651734,0.778372536,0.870043435
AlaDh_PNT_C,-0.057205922,1.23E-09,3.97E-08
AlaDh_PNT_N,-0.018631018,0.047978078,0.27410058
Ala_racemase_C,-0.015490239,0.100146241,0.467605912
Ala_racemase_N,-0.025901218,0.00596917,0.052955722
